F1	F2
1055.7299286738748	1818.6634696749416
764.0046467475555	1533.731222247176
1058.1300239719417	1846.1043375975348
937.4580939082309	1574.803993621964
1050.9149954750922	1859.1411899432037
873.1585191814471	1607.1488496887332
1026.7768514198513	1823.2090479770177
810.5081678434941	1662.8923682724947
1134.742121014006	1971.9959529027547
936.310460924223	1638.8653108023457
1174.4612011856934	1922.4593301235511
737.0914492793504	1371.2741854323783
1273.3920786844387	2095.408899050817
835.2211316995963	1555.846797528567
953.6998186766272	1779.149547054666
779.2974771535225	1370.7635285991767
1018.338153451578	1927.0759070856234
921.6564437617628	1621.529125447973
1215.8382693698725	2025.3518882910287
804.9968685859941	1535.664239209272
