F1	F2
1059.881965068555	1972.5743477313615
792.2772375911225	1651.2178001150617
999.8167818528519	1909.319092073337
870.6314026120804	1687.1762646540371
1070.4880971714758	1944.9697831599126
791.2460345103962	1631.341446533768
1133.0484807045016	1959.2440725695637
745.5724402174322	1605.4617544690586
1002.8735646033548	1920.9566606813626
708.1357117867225	1679.7971181615246
1079.8682232382446	1912.7285858442342
831.5565774940542	1651.4214129089153
1238.2658745421604	2051.7439265843473
731.0855107811926	1609.383367804394
1100.013601538726	1933.1704515872827
833.3397362789209	1674.8279881355686
1201.680735429488	2008.3541005628767
747.0681135513048	1624.9787678987827
1004.4962890407072	1933.1479295436754
773.9158213376153	1665.3720537402955
