F1	F2
1041.5214995022488	1783.1017137985807
771.5145045575454	1545.658586941283
1140.3849508632877	1758.0926420314547
850.3994769975478	1581.3433617843148
1090.059668365778	1817.0057124494692
797.0044084909667	1539.4011236807173
1074.447401986826	1761.1987167578177
683.7535273458712	1304.3936489030855
1065.4121992332362	1667.9294375018667
873.7393210119915	1658.2583387092307
1069.7341588397787	1741.4529351481592
847.4209398383347	1556.8081755495173
1077.5267822998428	1738.8857544117477
771.1424994603576	1478.5679124985309
1130.7880496930077	1789.4459507879978
853.4784726549274	1515.281757457386
1056.8160720383335	1736.9528397981312
811.5540459500588	1533.6932116870566
1134.9053798043215	1775.0610004475002
773.6462520893701	1577.6713147447024
