F1	F2
859.4964058767616	2140.529716828639
757.4524458896941	1846.3810583584889
859.0862208794762	2189.0429233927234
726.3468412244689	1839.9714156535358
893.7882636249686	2266.6212029327644
767.9288756176726	1800.5801881918665
834.6590056267108	2170.2337743610865
693.911143789915	1849.2114396449276
896.5808305876695	2106.1348059538955
695.6787498764221	1798.842996062722
861.2693908389157	2107.5851877056994
720.6751379267916	1677.4936879411262
902.7057559098324	2105.056886098564
653.282306756857	1827.2275514035111
713.6618212691302	1817.161006031557
901.2277210061675	2107.352614600163
746.295931824738	1832.4415131995934
894.9183583331632	2105.7815853981824
867.0813654192914	2119.3997427873583
708.186239539871	1868.7114927911755
