F1	F2
855.3106691788674	2188.6098399234984
689.9118560527969	1756.4393552484491
830.1751165095916	2147.4905084901297
700.5089938913196	1676.4435072193241
897.2114094555064	2099.3526569493447
714.7094337137105	1633.2494498177882
868.7639598811651	2141.759288691344
692.6511765617515	1677.2039270802254
897.4845947501731	2172.9658243284425
692.5083036037609	1674.619768164971
828.8174578378635	2019.2120189307734
1532.7588949716835	2557.6444411564107
847.7510782407705	2175.905330286994
686.8778537601657	1710.6437372382568
881.8092054679331	2110.0128239619266
704.4898866587035	1584.1023821127792
846.0571503145567	2134.1878572371343
720.7173166110174	1393.6690144558295
852.5628367380402	2027.2645322760886
662.8701619827974	1758.8394191399389
