F1	F2
1053.668205057099	1838.8310235190509
783.8082946794066	1582.375274516462
1066.8678511151481	1878.8368218647593
887.025827749105	1652.4088835028335
903.6644758050544	1614.0942815495202
1024.1478475242716	1816.530956002642
809.4129853471471	1577.4652063969054
998.4574317847483	1839.8409563361747
870.0483509614564	1643.8925921864543
1019.1407821790657	1829.1932988613653
829.9109267899097	1635.2637602311943
1008.9804585280003	1822.1061532706542
816.6328013710669	1638.4224874924323
999.0257257492182	1797.2018241794626
850.6944396627746	1612.7823940034284
1028.104790085159	1919.0261863590092
837.0186473250168	1609.582842605948
1065.1083513028987	1809.874945392832
834.1497612840404	1604.6232922505064
998.3017087895003	1782.7239541785186
