F1	F2
852.7868326364121	2162.175423133802
708.3122273529849	1829.9276253740213
860.9521802191455	2098.40259336673
742.2682988720096	1828.6940266459703
829.28926229626	2193.2214420793066
707.1830000617255	1872.775068397404
821.8369492398538	2129.1825215845633
747.7813548557668	1777.7569524388687
855.9034116005121	2135.568607896165
705.0912810662041	1835.281377246194
843.4381441809807	2045.4213086259217
626.4634775070617	1899.0859127243186
833.3643230709175	2012.1783901219765
698.1753708543688	1839.7097044127192
826.4639519209704	2033.1364815839534
715.5478663962969	1789.8978841017274
843.951482870069	2116.728212726083
739.6798834907518	1734.7495042886592
832.5789858654588	2113.8600108678165
728.2791382768759	1795.4426384331466
