F1	F2
831.7410718307219	2176.423180637636
855.9029520483905	1958.5955814060114
780.1484435520251	2082.5408662113878
845.0873152034187	1884.7614428795139
811.9369543402447	2086.7203913237886
846.7322165880205	1855.9745197851078
847.3201970729701	2085.1263399888376
893.2232354159241	1911.6879372011124
842.310079403989	2080.837991603981
864.2565695256772	1943.9315470296804
853.6832796111529	2167.533857432239
761.4425674080962	1771.2845667566062
845.6232691325174	2086.677239695435
847.0168192409899	1867.7849299738457
860.5664305355689	2146.5715853160327
794.1463336858009	1799.6587425672494
845.9915977842571	2053.415416250884
875.3185033143093	1835.751661178617
877.5049278398806	2158.822015774243
968.3741315175168	2030.9739635559906
